Communication,Learn effective strategies and methods for interpreting analytics and communicating insights to business audiences.,Interpreting and Communicating Data Insights in Business,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT212x
Data Analysis & Statistics,"Learn how to use Microsoft R Server to analyze large datasets using R, one of the most powerful programming languages.",Analyzing Big Data with Microsoft R Server,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT213x
Computer Science,"Learn to create mobile reports, paginated reports, and KPIs using business data with SQL Server Reporting Services (SSRS).",Analyzing and Visualizing Data with SQL Server Reporting Services,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT214x
Computer Science,Learn how to use the SQL server to build efficient databases using In-Memory features.,Implementing In-Memory SQL Database Objects,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT215.4x
Computer Science,"Learn how to design, build, load, and operate a relational data warehouse to support business intelligence (BI) and advanced analytics.",Delivering a Relational Data Warehouse,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT216x
Computer Science,Learn how to use SSIS to build high performance integration solutions and ETL packages for data warehousing.,Implementing ETL with SQL Server Integration Services,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT217x
Computer Science,"Learn how to install or provision SQL Server 2016, SQL Server v.Next on Linux, and Azure SQL Databases.",Provisioning Databases in Azure and SQL Server,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT219x
Computer Science,Learn the fundamentals of NoSQL and explore several non-relational data storage options in Microsoft Azure.,Developing NoSQL Solutions in Azure,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT221x
Computer Science,"Learn how to design, develop, and manage a tabular data model with SQL Server 2016 Analysis Services.",Developing a SQL Server Analysis Services Tabular Data Model,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT225x
Computer Science,Learn how to manage Master Data Management (MDM) solutions with SQL Server 2016 Master Data Services (MDS) to deliver...,Creating a Master Data Solution with SQL Server Master Data Services (MDS),Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT226x
Computer Science,.,Introduction to Bootstrap,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DEV203x
Computer Science,"Learn the C# programming language, the most widely used language for .NET from Microsoft experts.",Programming with C#,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DEV204x
Computer Science,This course will teach you how to use jQuery to simplify common tasks in JavaScript...,Introduction to jQuery,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DEV208x
Computer Science,Learn Microsoft Azure solution design from architects at Microsoft.,Architecting Microsoft Azure Solutions,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DEV205Bx
Math,Learn to master differential equations and special functions in this graduate level course.,Complex Analysis with Physical  Applications,NUST MISIS,,49.00 USD,https://www.edx.org/school/misisx,None,MISiSx+18.11x
Computer Science,Learn how to build predictive solutions for big data using Microsoft Azure Machine Learning,Developing Big Data Solutions with Azure Machine Learning,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT228x
Computer Science,A brief introduction to the C++ language from the experts at Microsoft.,Introduction to C++,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DEV210x
Computer Science,"Learn the essential skills to create an interactive web application using HTML5, JavaScript CSS, and CSS3.","JavaScript, HTML and CSS Web Development",Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DEV211.1x
Computer Science,Learn how to make your application lifecycle faster and more predictable both for developers and the operations team.,Introduction to DevOps,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DEV212x
Computer Science,"Learn to host your apps in the cloud with Azure App Service Web Apps. Create, build, and deploy with your favorite tools and frameworks.",Getting Started with Azure App Service: Web Apps,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DEV223x
Computer Science,Start creating and managing your own connected IoT devices today using secure Microsoft Azure technologies.,Developing IoT Solutions with Azure IoT,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DEV225x
Computer Science,Get up and running with Windows PowerShell! Learn the basics of automating administrative tasks common to most computing environments.,Windows PowerShell Basics,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+INF210x
None,None,Evaluating Products Designed for the Poor,None,,49.00 USD,None,None,MITx+CITE101x
Business & Management,Learn fundamental concepts for logistics and supply chain management.,Supply Chain Design,Massachusetts Institute of Technology,,150.00 USD,https://www.edx.org/school/mitx,None,MITx+CTL.SC2x
Business & Management,Learn how to manage and harness the dynamics and interactions between firms and entities within a supply chain.,Supply Chain Dynamics,Massachusetts Institute of Technology,,150.00 USD,https://www.edx.org/school/mitx,None,MITx+CTL.SC3x
Business & Management,Learn how technology is used in supply chain systems from fundamental concepts to innovative applications.,Supply Chain Technology and Systems,Massachusetts Institute of Technology,,150.00 USD,https://www.edx.org/school/mitx,None,MITx+CTL.SC4x
Computer Science,Learn how to design health information and communication technology (ICT) solutions for the developing world.,Designing Health Information Systems,Massachusetts Institute of Technology,,49.00 USD,https://www.edx.org/school/mitx,None,MITx+HST.936x
Computer Science,.,Introduction to MongoDB using the MEAN Stack,MongoDB University,,75.00 USD,https://www.edx.org/school/mongodbx,None,MongoDBx+M101x
Humanities,"Learn Chinese as a second language, understand Chinese culture...",汉语与文化交际 Chinese Cultural Communication,Peking University,,49.00 USD,https://www.edx.org/school/pekingx,None,PekingX+20000003x
History,Learn about medieval Jewish medical training and thought by exploring and interpreting medical manuscripts.,The History of Medieval Medicine through Jewish Manuscripts,University of Pennsylvania,,29.00 USD,https://www.edx.org/school/pennx,None,PennX+Katz1.1x
Computer Science,Master the foundational math concepts that drive robotics and put them into practice using MATLAB.,Robotics: Fundamentals,University of Pennsylvania,,349.00 USD,https://www.edx.org/school/pennx,None,PennX+ROBO1x
Computer Science,"Learn how to design robot vision systems that avoid collisions, safely work with humans and understand their environment.",Robotics: Vision Intelligence and Machine Learning,University of Pennsylvania,,349.00 USD,https://www.edx.org/school/pennx,None,PennX+ROBO2x
Computer Science,"Learn how to design, build, and program dynamical, legged robots that can operate in the real world.",Robotics: Locomotion Engineering,University of Pennsylvania,,349.00 USD,https://www.edx.org/school/pennx,None,PennX+ROBO4x
Computer Science,"Learn techniques that are foundational to the design of microchips used in smartphones, computers, and the Internet",Circuits and Electronics 1: Basic Circuit Analysis,Massachusetts Institute of Technology,,99.00 USD,https://www.edx.org/school/mitx,None,MITx+6.002.1x_1
Data Analysis & Statistics,"An introduction to probabilistic models, including random processes and the basic elements of statistical inference.",Introduction to Probability - The Science of Uncertainty,Massachusetts Institute of Technology,,99.00 USD,https://www.edx.org/school/mitx,None,MITx+6.041x_4
Business & Management,Identify a problem and develop a solution as you learn about the phenomena of user innovation and entrepreneurship.,You Can Innovate: User  Innovation & Entrepreneurship,Massachusetts Institute of Technology,,300.00 USD,https://www.edx.org/school/mitx,None,MITx+Bootcamp0
Business & Management,"Turn your idea into a business, as you learn the essential skills needed to effectively identify and target customers.",Entrepreneurship 101: Who is your customer?,Massachusetts Institute of Technology,,300.00 USD,https://www.edx.org/school/mitx,None,MITx+Bootcamp1
Business & Management,Learn how to create a product or service that meets your customer’s needs and identify the value proposition.,Entrepreneurship 102: What can you do for your customer?,Massachusetts Institute of Technology,,300.00 USD,https://www.edx.org/school/mitx,None,MITx+Bootcamp2
Business & Management,Master and apply the core methodologies used in supply chain analysis and modeling.,Supply Chain Analytics,Massachusetts Institute of Technology,,150.00 USD,https://www.edx.org/school/mitx,None,MITx+CTL.SC0x
Business & Management,Learn fundamental concepts for logistics and supply chain management from both analytical and practical perspectives.,Supply Chain Fundamentals,Massachusetts Institute of Technology,,150.00 USD,https://www.edx.org/school/mitx,None,MITx+CTL.SC1x_1
Computer Science,Learn the essentials of Windows 10 Universal Windows Platform app development.,Developing Windows 10 Universal Apps - Part 1,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DEV209.1x
Computer Science,Learn to develop a Windows 10 Universal Windows Platform app that implements the MVVM pattern.,Developing Windows 10 Universal Apps – Part 2,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DEV209.2x
Computer Science,.,Developing Windows 10 Universal Apps – Part 3,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DEV209.3x
Social Sciences,Learn how to both design randomized evaluations and implement them in the field to measure the impact of social programs.,Designing and Running Randomized Evaluations,Massachusetts Institute of Technology,,0.00 USD,https://www.edx.org/school/mitx,None,MITx+JPAL102x
Business & Management,Learn the business skills and startup mindset needed to embark on your entrepreneurial path.,MIT Launch X – Becoming an Entrepreneur,Massachusetts Institute of Technology,,69.00 USD,https://www.edx.org/school/mitx,None,MITx+Launch.x_3
Food & Nutrition,Arm yourself with the knowledge and tools to make healthy eating decisions as you learn the science behind weight loss.,The Science of Weight Loss: Dispelling Diet Myths,"the University of Newcastle, Australia",,49.00 USD,https://www.edx.org/school/newcastlex,None,NewcastleX+SWL101x
Economics & Finance,"Learn the basics of market structure, including key market participants and what determines a market’s development.",Fundamentals of Market Structure,NYIF,,25.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+ETFM2016.1x
Economics & Finance,An overview of project finance and public-private partnerships (PPPs) with a focus on financing and accounting.,Project Finance and Public Private Partnerships Fundamentals,NYIF,,99.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+PFPPP1.PC1x
Economics & Finance,Learn how to classify projects by deal structure and customer type by examining global PPP mega-deals.,Deal Structures in Project Finance,NYIF,,189.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+PFPPP1.PC2x
Economics & Finance,"Learn about the various stages and participants in the project finance process, including the important role lenders play.",The Project Finance Process,NYIF,,189.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+PFPPP1.PC3x
Economics & Finance,Review case studies and transactions to recognize the key political and currency risks in project finance.,Risks in Project Finance: Case Studies and Analysis,NYIF,,189.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+PFPPP1.PC6x
Economics & Finance,Complete the required exam to earn your professional certificate in Project Finance and the Public Private Partnership from the NYIF.,Project Finance and the Public Private Partnership Professional Certificate Examination,NYIF,,355.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+PFPPP1.PC7x
Business & Management,Learn about the impact and analysis of interest rates on the economy from experts at the New York Institute of Finance.,Yield Curve Analysis,NYIF,,949.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+YCA2015.1x
Business & Management,.,International Marketing 国际市场营销学,Peking University,,49.00 USD,https://www.edx.org/school/pekingx,None,PekingX+02534010x
Communication,.,Management Communication 管理沟通,Peking University,,49.00 USD,https://www.edx.org/school/pekingx,None,PekingX+NCEPU001x
Computer Science,Learn how Windows Server virtualization works and use Hyper-V to efficiently administer server workloads.,Windows Server 2016: Virtualization,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+INF215x
Computer Science,Interested in expanding your on-premises infrastructure to Microsoft Azure? Learn how you can take that first step with virtual machines...,Windows Server 2016: Azure for On-Premises Administrators,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+INF216x
Engineering,Discover the various properties and structures of materials and build a solid foundation in engineering.,Science of Engineering Materials,NUST MISIS,,49.00 USD,https://www.edx.org/school/misisx,None,MISISx+MSE1x
Economics & Finance,Use economic models to learn how prices and markets benefit society in the face of scarcity.,Microeconomics,Massachusetts Institute of Technology,,0.00 USD,https://www.edx.org/school/mitx,None,MITx+14.100x
Social Sciences,.,Foundations of Development Policy,Massachusetts Institute of Technology,,0.00 USD,https://www.edx.org/school/mitx,None,MITx+14.740x
Business & Management,"Through inspiring examples and stories, discover the power of data and use analytics to provide an edge to your career and your life.",The Analytics Edge,Massachusetts Institute of Technology,,99.00 USD,https://www.edx.org/school/mitx,None,MITx+15.071x
Business & Management,.,Girişimcilik 102: Müşteriniz için ne yapabilirsiniz?,Massachusetts Institute of Technology,,100.00 USD,https://www.edx.org/school/mitx,None,MITx+15.390.2x_TUR_1
Math,An intro to the mysteries of the frequency domain and Laplace transform and how they're used to understand mechanical and electrical systems,Transfer Functions and the Laplace Transform,Massachusetts Institute of Technology,,49.00 USD,https://www.edx.org/school/mitx,None,MITx+18.03Lx
Engineering,"Learn how to speed up digital circuits and build amplifiers in the design of microchips used in smartphones, computers, and the Internet.","Circuits and Electronics 2: Amplification, Speed, and Delay",Massachusetts Institute of Technology,,49.00 USD,https://www.edx.org/school/mitx,None,MITx+6.002.2x_1
Engineering,.,Circuits and Electronics 3: Applications,Massachusetts Institute of Technology,,49.00 USD,https://www.edx.org/school/mitx,None,MITx+6.002.3x_1
Biology & Life Sciences,An in-depth adventure through DNA replication and repair to strengthen your scientific thinking and experimental design skills.,Molecular Biology,Massachusetts Institute of Technology,,50.00 USD,https://www.edx.org/school/mitx,None,MITx+7.28.1x
Business & Management,"If your goal is a career on a broker-dealer’s M&A; desk, this is the course for you!",M&A Professional Certificate Part 3 - Structuring the Deal,NYIF,,250.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+MA1.3x
Business & Management,"If your goal is a career on a broker-dealer’s M&A; desk, this is the course for you!",M&A Professional Certificate Part 5 - Accounting for Mergers & Acquisitions,NYIF,,250.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+MA1.5x
Economics & Finance,Learn how to differentiate between financial and business risks.,Introduction to Risk Management,NYIF,,99.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+RMPC1.1x
Economics & Finance,Understand how to describe the various approaches utilized for determining value at risk.,"Measuring Risk: Equity, Fixed Income, Derivatives and FX",NYIF,,249.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+RMPC1.2x
Economics & Finance,"Learn how to compare and contrast economic capital, risk capital and regulatory capital.",Risk Management Tools and Practices,NYIF,,349.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+RMPC1.3x
Economics & Finance,Learn how stress tests are used as the primary tool of risk regulation.,Stress Testing and Risk Regulation - Part 1,NYIF,,349.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+RMPC1.4x
Economics & Finance,Learn how to define a reverse stress test and compare it to a conventional stress test.,Stress Testing and Risk Regulation - Part 2,NYIF,,349.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+RMPC1.5x
Economics & Finance,Complete this exam to earn your professional certificate in Risk Management from the New York Institute of Finance.,Risk Management Professional Certificate Exam,NYIF,,500.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+RMPC1.6x
Law,.,International Criminal Law 国际刑法学,Peking University,,0.00 USD,https://www.edx.org/school/pekingx,None,PekingX+02930106x
Computer Science,算法设计与分析(高级)”是在掌握了算法基本设计技术的基础上，进一步提高的算法课程。本课程重点介绍线性规划、网络流算法、计算复杂性理论、近似算法、随机算法及其应用。,Advanced Design and Analysis of Algorithms 算法设计与分析(高级),Peking University,,49.00 USD,https://www.edx.org/school/pekingx,None,PekingX+04833050X
Humanities,.,Intermediate Chinese Grammar 中级汉语语法,Peking University,,49.00 USD,https://www.edx.org/school/pekingx,None,PekingX+20000001x
Computer Science,"Learn how to select, apply, and analyze the most appropriate data representations in your code and design high quality software.",Data Structures and Software Design,University of Pennsylvania,,149.00 USD,https://www.edx.org/school/pennx,None,PennX+SD2x
Computer Science,Learn about the core principles of computer science: algorithmic thinking and computational problem solving.,Algorithm Design and Analysis,University of Pennsylvania,,149.00 USD,https://www.edx.org/school/pennx,None,PennX+SD3x
Biology & Life Sciences,.,Proteins: Biology's Workforce,Rice University,,49.00 USD,https://www.edx.org/school/ricex,None,RiceX+BIOC300.1x
Physics,.,"Electricity & Magnetism, Part 2",Rice University,,25.00 USD,https://www.edx.org/school/ricex,None,RiceX+PHYS102.2x
Medicine,An in-depth adventure through RNA Processing and Translation. Strengthen your scientific thinking and biological experimental design skills.,Molecular Biology: RNA Processing and Translation,Massachusetts Institute of Technology,,50.00 USD,https://www.edx.org/school/mitx,None,MITx+7.28.3x
Physics,Learn about ultracold atoms and Bose-Einstein Condensate and applications to solid-state physics and quantum information science.,Atomic and Optical Physics: Ultracold Atoms and Ions for Many-body Physics and Quantum Information Science,Massachusetts Institute of Technology,,49.00 USD,https://www.edx.org/school/mitx,None,MITx+8.422.5x
Business & Management,Take the Comprehensive Exam in Supply Chain Management to earn the MITx MicroMasters credential.,Supply Chain Comprehensive Exam (Virtual),Massachusetts Institute of Technology,,600.00 USD,https://www.edx.org/school/mitx,None,MITx+CTL.CFx
Business & Management,Complete the required exam to earn your professional certificate in Mergers & Acquisitions from the New York Institute of Finance.,M&A Professional Certificate Examination,NYIF,,500.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+MA1.6x
Data Analysis & Statistics,Learn the methods and strategies for using large-scale educational data to improve education and make discoveries about learning.,Big Data and Education,University of Pennsylvania,,49.00 USD,https://www.edx.org/school/pennx,None,PennX+BDE1x
Business & Management,Learn what makes global projects uniquely challenging and how to successfully manage projects based in different industries and countries.,International Project Management,Rochester Institute of Technology,,150.00 USD,https://www.edx.org/school/ritx,None,RITx+PM9003x
Business & Management,Demonstrate the knowledge and skills acquired in the Project Management MicroMasters program.,Project Management MicroMasters Capstone Exam,Rochester Institute of Technology,,600.00 USD,https://www.edx.org/school/ritx,None,RITx+PM9004x
Business & Management,.,Kullanıcıdan Doğan Yenilikçilik,Massachusetts Institute of Technology,,100.00 USD,https://www.edx.org/school/mitx,None,MITx+uINOV8x_TUR_1
Economics & Finance,Review multiple case studies and transactions to recognize how to select the best deals for investment,Deals in Project Finance: Case Studies and Analysis,NYIF,,189.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+PFPPP1.PC4x
Economics & Finance,"Learn about the contracts and documents needed for a project, rating agencies, and the loan syndication process.",Documentation in Project Finance,NYIF,,189.00 USD,https://www.edx.org/school/new-york-institute-finance,None,NYIF+PFPPP1.PC5x
Literature,.,资治通鉴: Chinese History From Warring States to the Tang Dynasty,Tsinghua University,,49.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+00612642x
History,Learn about China’s ancient ritual civilization and cultural traditions.,China’s Ancient Ritual Civilization,Tsinghua University,,49.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+00690212X
Art & Culture,Explore Chinese culture through artifacts and relics.,Relics in Chinese History - Part 1: Agriculture and Manufacturing,Tsinghua University,,49.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+00690242.1x
Art & Culture,Discover how writing systems and music played a major role in Chinese history.,"Relics of Chinese History - Part 3: Writing System, Rites and Music",Tsinghua University,,49.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+00690242.3x
Humanities,"Explore the works of Plato, Aristotle, Heraclitus and other originators of Western philosophy.",An Exploration to the Original Spirit of Western Philosophy,Tsinghua University,,49.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+00690342X
Humanities,"Explore the origins, representatives, works and important genres of Ci Poetry in the Tang and Song Dynasty.",Introduction of Ci Poems in Tang and Song Dynasty,Tsinghua University,,49.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+00690863X
Communication,.,Conversational English Skills,Tsinghua University,,49.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+30640014x
Philosophy & Ethics,.,Introduction to Psychology,Tsinghua University,,49.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+30700313x
Environmental Studies,.,Water and Wastewater Treatment Engineering: Biochemical Technology,Tsinghua University,,49.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+40050455.2x
Environmental Studies,Learn the basic principles and characteristics of water and wastewater treatment engineering.,Water and Wastewater Treatment Engineering:Physicochemical Technology,Tsinghua University,,49.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+40050455x
Computer Science,.,Combinatorial Mathematics,Tsinghua University,,49.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+60240013x
Computer Science,"Learn the fundamentals of object-oriented programming in Java, as well as best practices of modern software development.",Software Development Fundamentals,University of Pennsylvania,,149.00 USD,https://www.edx.org/school/pennx,None,PennX+SD1x
Computer Science,"Learn how to develop dynamic, interactive, and data-driven web apps using JavaScript.",Programming for the Web with JavaScript,University of Pennsylvania,,149.00 USD,https://www.edx.org/school/pennx,None,PennX+SD4x
Biology & Life Sciences,.,DNA: Biology's Genetic Code,Rice University,,49.00 USD,https://www.edx.org/school/ricex,None,RiceX+BIOC300.2x
Business & Management,"Learn how to apply project management tools, processes, and techniques for the successful execution of a project from initiation to closing.",Project Management Life Cycle,Rochester Institute of Technology,,150.00 USD,https://www.edx.org/school/ritx,None,RITx+PM9001x
Business & Management,Learn how to create an organizational environment that supports project success.,Best Practices for Project Management Success,Rochester Institute of Technology,,150.00 USD,https://www.edx.org/school/ritx,None,RITx+PM9002x
Business & Management,Learn to take on competition by creating successful and innovative business ideas through a thorough understanding of customer needs.,Customer-Centric Innovation,The RWTH Aachen University,,149.00 USD,https://www.edx.org/school/rwthx,None,RWTHx+MTI002x
Business & Management,Learn how to drive innovation and creativity in your company and how to turn ideas into successful products and services.,Innovation & Creativity Management,The RWTH Aachen University,,149.00 USD,https://www.edx.org/school/rwthx,None,RWTHx+MTI003x
Business & Management,Learn how to harness the mindset of an entrepreneur and how to put it to use within your own company.,Thinking & Acting like an Entrepreneur,The RWTH Aachen University,,149.00 USD,https://www.edx.org/school/rwthx,None,RWTHx+MTI004x
Business & Management,"Design effective strategy processes, analyze shifting industry structures and develop new capabilities in times of industry transition.",Strategic Management: From Intuition to Insight,The RWTH Aachen University,,149.00 USD,https://www.edx.org/school/rwthx,None,RWTHx+MTI005x
Social Sciences,JPAL101x will provide a thorough understanding of how randomized evaluations can be used to evaluate social and development programs.,DELETE,Massachusetts Institute of Technology,,49.00 USD,https://www.edx.org/school/mitx,None,MITx+JPAL101x
None,None,Entrepreneurial Land Redevelopment Approach:  Land Readjustment,None,,99.00 USD,None,None,MITx+STL.161x
Computer Science,"Unraveling the mysteries of Data Mining and Big Data, this course is a must-have for any budding Data Scientist.",Data Mining: Theory and Algorithms,Tsinghua University,,99.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+80240372X
Computer Science,"Learn how to apply engineering principles, such as Agile, to build a full-stack software system.",Software Engineering: Introduction,University of British Columbia,,125.00 USD,https://www.edx.org/school/ubcx,None,UBCx+SoftEng1x
Business & Management,Tools to not only understand changes in your company's environment but to also prepare for and respond to them.,Managing Disruptive Change,The RWTH Aachen University,,149.00 USD,https://www.edx.org/school/rwthx,None,RWTHx+MTI001x
Business & Management,"Learn how to (re)position your organization, orchestrate strategic alliances and assess strategic options from an ethical perspective.",Strategic Management: From Insight to Decision,The RWTH Aachen University,,149.00 USD,https://www.edx.org/school/rwthx,None,RWTHx+MTI006x
Engineering,Explore traditional Japanese architecture and related political influences starting with...,Modern Japanese Architecture: From Meiji Restoration to Today,Tokyo Institute of Technology,,69.00 USD,https://www.edx.org/school/tokyotechx,None,TokyoTechX+ARCH101x
Communication,Learn how to properly write a scientific paper and effectively make a presentation to submit proposals for funding.,Writing Scientific Papers and Making Presentations in English,Tsinghua University,,49.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+60250101
Math,Explore and create secondary math classroom activities that consider social justice concerns.,Teaching Social Justice Through Secondary Mathematics,Teach For America,,49.00 USD,https://www.edx.org/school/teachforamericax,None,TeachForAmericaX+SJSM.TFAx
Engineering,.,Introducción al Control Numérico por Computadora,TenarisUniversity,,49.00 USD,https://www.edx.org/school/tenarisuniversity,None,TenarisUniversityX+CNC.ETRRx_3
Engineering,"Explore the science, history, industrial and cultural significance of steel.",Introduction to Steel,TenarisUniversity,,49.00 USD,https://www.edx.org/school/tenarisuniversity,None,TenarisUniversityX+STEEL101x_1
Energy & Earth Sciences,"Learn about the nature and dynamics of the Earth’s core, mantle and crust in this introductory Earth Science course.",Introduction to Deep Earth Science,Tokyo Institute of Technology,,60.00 USD,https://www.edx.org/school/tokyotechx,None,TokyoTechX+GeoS101x
Environmental Studies,"Learn how integrated systems and individual actions can shape sustainable cities, generating higher quality of life for the future.",Sustainable Urban Environments,Trinity College,,50.00 USD,https://www.edx.org/school/trinityx,None,TrinityX+T011x
Social Sciences,"Understand China’s perspectives, policies, actions and effects on global climate changes to the international community.",China’s Perspective on Addressing Climate Change 应对气候变化的中国视角,Tsinghua University,,49.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+00460032x
Art & Culture,Discover how Astronomy and Medicine impacted the history of China.,Relics of Chinese History - Part 2: Astronomy and Medicine,Tsinghua University,,49.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+00690242.2x
Humanities,Gain insight into the different perspectives & trends facing development workers to lead more effectively across sectors & organizations.,Critical Development Perspectives,The University of Queensland,,150.00 USD,https://www.edx.org/school/uqx,None,UQx+LGDM4x
Social Sciences,Learn about the history and research methods of psychology.,AP® Psychology - Part 1: What is Psychology?,University of British Columbia,,49.00 USD,https://www.edx.org/school/ubcx,None,UBCx+PSYC.1x
Social Sciences,"Learn about the neuroscience and psychology of the mind including memory, thinking, reasoning, and language.",AP® Psychology - Part 3: How the Mind Works,University of British Columbia,,49.00 USD,https://www.edx.org/school/ubcx,None,UBCx+PSYC.3x
Social Sciences,Learn about the theories of motivation and emotions and obtain an in-depth look at intelligence testing and personality development.,AP® Psychology - Part 4: How Behavior Works,University of British Columbia,,49.00 USD,https://www.edx.org/school/ubcx,None,UBCx+PSYC.4x
Social Sciences,Learn about the relationship between stress and physical and mental health and the treatment of abnormal behavior.,AP® Psychology - Part 5: Health and Behavior,University of British Columbia,,49.00 USD,https://www.edx.org/school/ubcx,None,UBCx+PSYC.5x
Social Sciences,Review and prepare for the AP® Psychology exam with evidence-based study strategies and tips to help.,AP® Psychology - Part 6: Exam Preparation & Review,University of British Columbia,,49.00 USD,https://www.edx.org/school/ubcx,None,UBCx+PSYC.6x
Computer Science,"Learn powerful data abstraction and decomposition techniques to build large, complex programs.",Software Construction: Data Abstraction,University of British Columbia,,125.00 USD,https://www.edx.org/school/ubcx,None,UBCx+SoftConst1x
Humanities,"Explore the medieval city of Toledo (Spain) and assess its history of Jewish, Christian, and Muslim religious and cultural coexistence.",Deciphering Secrets: Unlocking the Manuscripts of Medieval Toledo (Spain),Universidad Carlos III de Madrid,,50.00 USD,https://www.edx.org/school/uc3mx,None,UC3Mx+HGA.2.2x
Computer Science,Learn to program with Java in an easy and interactive way!,"Introduction to Programming with Java, Part 1: Starting to Code with Java",Universidad Carlos III de Madrid,,50.00 USD,https://www.edx.org/school/uc3mx,None,UC3Mx+IT.1.1x
Data Analysis & Statistics,"Using Python, learn statistical and probabilistic approaches to understand and gain insights from data.",Probability and Statistics using Python,"The University of California, San Diego",,350.00 USD,https://www.edx.org/school/uc-san-diegox,None,UCSanDiegoX+DSE210x
Computer Science,"Learn how to teach coding skills to your students by using Minecraft, one of the most popular games of all time.","Minecraft, Coding and Teaching","The University of California, San Diego",,49.00 USD,https://www.edx.org/school/uc-san-diegox,None,UCSanDiegoX+LTM1x
Science,.,De la granja a la mesa: La seguridad alimentaria en la Unión Europea,Universidad Autónoma de Madrid,,50.00 USD,https://www.edx.org/school/uamx,None,UAMx+SegAlim201x
Environmental Studies,"Using real examples, learn how ecology can guide urban design to avert environmental disasters and improve people’s lives.",Ecodesign for Cities and Suburbs,University of British Columbia,,99.00 USD,https://www.edx.org/school/ubcx,None,UBCx+EcodesignX
